Post_id,Comment_id,Text
31328105,31328149,ой да ладно))) не смешите трампа тапочки
31328105,31328159,"Турция молодцы, послали сша"
31328105,31328179,Трамп что то слишком разнервничался..может успокоительного!!!а то прическу вообще не соберет!
31328105,31328191,
31328105,31328213,
31328105,31328250,Первый кирпичик из блока НАТО уже шатается.
31328105,31328267,"а разве на картинке не с-300 ?
с-400 вроде на прицепе"
31328105,31328412,
31328105,31328450,"США не предложили Анкаре важнейшие ракетные технологии, которые нужны для этого оборудования, но также и для того, чтобы повторить эти системы.

Видимо Россия технологии ракет готова передать турции"
31328105,31328478,Ну збс че) эрдоган уже сбивал наши самолеты теперь ваще норм рогатка у него появится
31328105,31328685,"Продавать передовые системы стране НАТО, достойная замена нейтральной и более денежной Индии"
31328105,31328741,"Банкиры напрягают Трампа чтобы тот что-то решал,вот он и рвёт зад"
31328105,31328946,"Потенциальному врагу продать с-400,пока идут  битвы в сирии ну как минимум не патриотично"
31328105,31328991,если турция не получит f-35 то она охотно купит су-57😀😀😀
31328105,31330074,+++ Трямп)))
31308397,31308406,Надоели
31308397,31308411,Да пусть лесом идут эти сирые и убогие со своими тупыми санкциями! Крым - Россия!!!
31308397,31308418,
31308397,31308430,"Крым это Россия🇷🇺🇷🇺🇷🇺🇷🇺🇷🇺
И ему не страшны ваши санкции в угоду Америке.
Как бы не старались - Крым развивается и хорошеет!!!😊😊😊"
31308397,31308434,"Мне нравилось как до этого Крым использовали в качестве нейтральной территории для торговли с Россией запрещенными к ввозу товарами)) Чудеса изворотливости европейских бизнесменов, чтобы не терять прибыль"
31308397,31308435,сколько можно об одном и том же
31308397,31308453,"Где новости про парня спецназовца , которого армяне трусливые убили"
31308397,31308482,Гейропа может только гейпарад провести в знак протеста)))
31308397,31308563,Спасибо тупым кастрюлям за Крым. 😂😂😂😂
31308397,31308569,"А смысл в происходящем какой?
Все понимают, что Крым перешел в состав России по собственному желанию, путём референдума, где это решение было принято единогласно всеми жителями!"
31308397,31308668,"Ну это бред. Ну пусть раскидываются своими санкциями. Только я не понимаю, где уши этих политиков? Делегации из ЕС уже ездили на полуостров, и прекрасно видели своими глазами, что там все окей, и люди вполне довольны своими условиями. Может уже стоит послушать других людей, или самим заехать в гости, не?"
31308397,31308921,"Как не стараются ЕС , а Крым обновляется и становится краше. Никакие санкции уже не изменят того, что полуостров стал российским и останется таковым."
31308397,31308922,Крым уже давно адаптировался к этим санкциям. Такие меры никак не повлияют на полуостров и его принадлежность к нашей стране.
31308397,31309004,"Там скоро мост Ж-Д заработает- какие санкции, дебилы , лучше быстрее приезжайте, а то опоздаете!"
31308397,31314506,+++ Санкции подрывают всю систему торговых отношений.
31303886,31303893,Было же уже.....
31303886,31303911,"Пока в России слабая экономика , Запад её уважать не будет ❗❗❗"
31303886,31303919,"Немудрено.
Америка это всегда были бандиты.
И всегда действовали только сугубо в своих бандитских интересах."
31303886,31303921,"Это гены, кто основал это государство, такие и методы."
31303886,31303931,Терпил не где не уважают
31303886,31303939,достали уже
31303886,31303942,"что-то зачастил песков своим мельканием в сми,видать,неспроста это,наверное,готовиться стать президентом рф."
31303886,31303966,"Новость часа .Убийцей бывшего ефрейтора спецназа ГРУ Никиты Белянкина, предположительно, оказался шашлычник Григор Оганян. Об этом сообщает Telegram-канал «112». 
Отмечается, что Оганян утром 2 июня вылетел в Ереван. В аэропорт предполагаемый преступник отправился сразу после драки в пивной. 
Как сообщалось ранее, сотрудники правоохранительных органов задержали двух участников драки, в результате которой был убит Белянкин. На допросе задержанные сообщили, что после произошедшего купили убийце билет на самолет до Армении. Они добавили, что инцидент в баре подмосковного поселка случился на почве межнационального конфликта, который разгорелся после того, как туда зашли двое местных жителей. 
Когда все участники конфликта вышли на улицу, происходящее увидел Никита Белянкин. Он вступился за мужчин, которых избивали, после чего на него напали и ударили ножом в грудь."
31303886,31303968,Волки и овца которая требует соблюдать свои права 20% мирового ввп и 2%
31303886,31303986,Песков сладкий и мягкий..как все наши правители или особо приближенные..ясно что пугать никого не нужно..но они(предприниматели..партнеры)сами напуганы своим же собственным страхом от их правительства..
31303886,31304036,"В Кремле с неожиданной
теплотой отозвались об
американском инвесторе
Майкле Калви. ""Мы все
знаем его как
благонадежного
бизнесмена, приверженца
российского рынка"", - так
Дмитрий Песков
охарактеризовал
заключенного сперва в
СИЗО, а затем под домашний
арест основателя фонда
Baring Vostok. По словам
пресс-секретаря, ему и его
шефу хотелось бы видеть
Калви среди участников
Петербургского
экономического форума."
31303886,31304040,"а чем отличается модель экономики стран, если никакой то США плевать на суверенность, мы же платим печатной машинке"
31303886,31304056,"Тормоз, до него только что дошло."
31303886,31304084,"Они по-другому никогда и не действовали. Как были дикими и подлыми придурками с револьверами, так ими и остались. Только в вестернах их изображают порядочными"
31303886,31304198,Клоун пучеглазый. Кто хоть его слушает то??? Для кого вещает?
31303886,31304759,честный Песков
31303886,31304870,"Песков догундится, дочюрку вышварнут из загнев-ей европы)))или в сша отправят, к Бутиной"
31303886,31305069,"песков, такой скользкий типок.."
31303886,31305485,+++ Так и есть.
31303886,31305877,Песков - необразованный идиот с подворотни. В США никогда не было честной конкуренции.
31303886,31306107,Смешно когда про честность говорят подобные люди
31300972,31300981,Братушки!
31300972,31300987,"А мы в 99 ввели,((("
31300972,31300990,Сербия - друг России👌👌👌
31300972,31300996,Сербия наш ?
31300972,31300997,✌🏻
31300972,31301000,надо им еще за это 20 лярдов $ дать
31300972,31301006,"Как власовское правительство вместе с олигархатом будет уничтожат здоровье россиян ""Некоторые из санитарно-эпидемиологических правил (СанПин) фактически являются невыполнимыми, так что бизнесу просто приходится идти на их нарушение. Поэтому Минпромторг выступает за отмену этих избыточных норм, заявил глава министерства Денис Мантуров на «Неделе российского ритейла».... в России начата большая реформа контрольно-надзорной деятельности — «регуляторная гильотина», цель которой — убрать устаревшие советские нормы и правила. Механизм предполагает отмену с 2021 года всех требований к бизнесу в сфере контроля и надзора, которые не были обновлены""."
31300972,31301027,"Не пора ли Сербам признать Крым,и приезжать в гости к Крымчанам!"
31300972,31301047,Жалко - много вытерпели и окружены шакалами
31300972,31301064,Италия озвучивает. Сербия озвучивает. Еще кто то. А воз и ныне там. Не надо обольщаться. Санкции надолго. И правнукам достанутся
31300972,31301084,"Яйца есть - мужик))
если отмотать все назад, то при сегодняшнем раскладе сербия была бы югославией, а нато бы курила бамбук"
31300972,31301287,Сербия +Россия =Один  народ!
31300972,31301373,В КосовЕ?😐
31300972,31301465,"о,срба на врба..можно еще раз бомбить ,раз не понимают)"
31300972,31301643,"Пока западные европейцы, ведомые США к светлому будущему, стреляют себе попеременно в обе ноги, сербы на правах друзей будут собирать все сливки от торговли с Россией"
31300972,31301792,"Сербы блин, давай в еаэс"
31300972,31303072,Брата!!!!!
31300972,31303136,"Больше санкций, сочных и разных! Может тогда люди задумываться начнут..."
31277483,31277497,"Вообще его мнение ( если его, что сомнительно) на этот счёт не беспокоит"
31277483,31277499,да хрен с ними
31277483,31277505,
31277483,31277507,Збли со своим Зеленским своих проблем в России мало?
31277483,31277516,
31277483,31277518,"Кошерная политика продолжается....Страдать будет не он,а те,кто за него голосовал."
31277483,31277534,"Население России заслужило то Правительство Путина В.В., которое его имеет, потому что не думало о будущем, а жило прошлым."
31277483,31277537,"И что😂😂😂
Люди рассчитывали,что он не будет как Педро.
Отдали ему 73% голосов.
И он это заценил - пошел той же дорогой."
31277483,31277542,"а хахлы , тем временем , от санкций против России , упали ниже плинтуса , - дефолт !!!🤣"
31277483,31277548,"Мальчик пока не въезжает, что от его ""позиции"" ровным счётом не зависит ничего ))"
31277483,31277554,"Лучше я бы сдохла, ахахахах"
31277483,31277562,Наконец-то нормальные новости. Зеленский — божество российских урапатриотов
31277483,31277567,Президент сумеречной зоны
31277483,31277585,"Заметил-чем больше санкций против России, тем хуже живёт Украина 😁"
31277483,31277589,"Вояки хреновы, херои"
31277483,31277596,"Госпадя, вот что у него в голове происходит ? Павлин Сказочный....."
31277483,31277601,
31277483,31277615,"ЗЕ...  Сам не в состоянии что-то сделать,  и как ПЕТЯ санкции... санкции... 
ПЕТРУШКА....."
31277483,31277692,"Что бы сильней аукнулось,что ли?"
31277483,31277694,"Главная война, которую ведёт Украина, это война со здравым смыслом !"
31277483,31277696,"Х.йло Незалежное. Как были вы шестачками американскими, так ими и помрете. Уже так ""задницу"" Америке наполировали, что от блеска ослепли. Думаете вам лучше заживется? Хрен вам собачий. Хочу, чтоб все вам втридорого было от вашей жадности, чтоб остались не с чем, чтоб остались голодными, но со своими националистическими амбициями, замерзая зимой, прыгая, когда зуб на зуб не попадает кричать ""кто нэ скачэ тот москаль..."""
31277483,31277709,"Вы получаете ответные санкции в результате экономика украины никогда не возродиться.Более того керченский пролив может быть закрыт а транзит газа прекращен по щелчку. 
И никакая америка не поможет. Ослиное упрямство приведет лишь к усугублению ситуации. В результате от европейской интеграции украина получит лишь от мертвого осла уши. Как говорил Остап Бендер."
31277483,31277714,"Чем он всем нравится?! Он же мерзский, скользкий тип🙈врет и не краснеет..."
